UM_ID,Freq_Cible_Hz,Freq_Reelle_Hz,Nb_Spikes
1,15,14.6,73
2,16.4285714285714,16.4,82
3,17.8571428571429,17.8,89
4,19.2857142857143,19.6,98
5,20.7142857142857,21,105
6,22.1428571428571,21.4,107
7,23.5714285714286,23,115
8,25,24.8,124
