UM_ID,Freq_Cible_Hz,Freq_Reelle_Hz,Nb_Spikes
1,15,15,75
2,16.4285714285714,16.6,83
3,17.8571428571429,17.4,87
4,19.2857142857143,18.6,93
5,20.7142857142857,20.4,102
6,22.1428571428571,21.8,109
7,23.5714285714286,22.6,113
8,25,24.8,124
